SEQNR,LATITUDE,LONGITUDE
0,41.86467,12.47697
1,41.86694,12.4753
2,41.86896,12.47324
3,41.87151,12.47229
4,41.87231,12.47401
5,41.87238,12.47924
6,41.87196,12.48229
7,41.87167,12.48422
8,41.87212,12.48534
9,41.87145,12.49036
10,41.87241,12.50735
11,41.87631,12.51353
12,41.88059,12.52512
13,41.88538,12.52649
14,41.88992,12.52074
15,41.8942,12.51276
16,41.8972,12.50873
17,41.90041,12.50302
18,41.90087,12.50223
19,41.90102,12.50204
20,41.90107,12.5019
21,41.90087,12.50173
22,41.90071,12.50154
23,41.90041,12.50123
24,41.90029,12.50111
25,41.90022,12.50077
26,41.90047,12.50039
27,41.90072,12.49994
28,41.90125,12.49915
29,41.90199,12.49876
30,41.90246,12.49959
31,41.90311,12.50059